============================================================
ARABIC VOCABULARY ORGANIZED BY CATEGORY
============================================================

For Mode 2: Quick Review - organized by topic
Format: english | arabic | transliteration
Two hundred (m) students | مِائَنَا طَالِبٍ |
Two students | طالبان |
Very much/ many | كثيرا |
Young man | فتی |
Young woman | فتاة |
chiefs; leaders | مَلَأ
companion, fellow | صاحب (pl: أَصْحَاب)
how many | كم
man | رَجُل (pl: رِجَال)
man; human | إِنْسَان
mansoob and majzoom with omission of nun | تُنْصَبُ وَ تُجْزَمُ بِحَذْفِ النُّوْنِ |
men; people | نَاس
owners of / people of | أُوْلُوا
people | قَوْم
to command | أَمَرَ (يَأْمُرُ)
woman | امْرَأَة (pl: نِسَاء)

============================================================
# EVERYDAY OBJECTS (70 words)
============================================================

A chair | كرسي |
A number of books | عِدَّةُ كُتب |
Baghdad | بَغْدَادُ |
Beds | سرر |
Books | كتب |
Chairs | کراسی |
Cloth | قماش |
Clothing | ثِياب |
Cloths | اقْمِشَةٌ |
Cover (book) | غلاف |
Cup | كُوبٌ |
Donkey | حمار |
Donkeys | حمُرٌ حَميرٌ |
Doors | أَبْوَبٌ |
During | فِي أَثْنَاءِ |
Expensive | غال |
Fixed/prescribed | مقررة |
Garbage | قُمَامةٌ |
Garment | ثَوْبٌ |
Garments | ثِيَابٌ |
Key | مفتاح |
Keys | مفاتيح |
Knife | سكين |
Mirror | مراة |
Mirrors | مرايا |
Newspaper | صحف |
Notebooks | دفاتر |
Open | مَفْتُوحٌ |
Open! | افْتَحْ |
Pens | أَقْلَامٌ |
Piece of paper | وَرَقَةٌ |
Pillow | مخدة |
Pillows | مَخَادٌ |
Prescribed text books | كُتب مُقَرَّرَةٌ |
Repent! | تب |
Ring! | زِنْ |
Shoe | حِذَاء |
Spring | الربيع |
Tablet/disk | قُرْص |
Tablets/disks | أقراص |
Turkey | تركيا |
Two windows | نافذتان |
Windows | نَوَافِذُ |
bag | حقيبة | haqibah
bed | سرير | sarir
bedroom | غرفة نوم | ghurfat nawm
book | كتاب (pl: كُتُب)
chair | كرسي | kursi
clothes | ملابس | malabis
door | باب | bab
eye; spring | عَيْن (pl: أَعْيُن)
forbearing | حليم
notebook | دفتر | daftar
paper | ورق | waraq
pen | قلم | qalam
pencil | قلم رصاص | qalam rasas
plate | صحن | sahn
shoes | حذاء | hidha'
table | طاولة | tawila
to bring (from أتى: to come) | أتى ب
to bring (from جاء: to come) | جاء ب
to bring forth | أَخْرَجَ (يُخْرِجُ)
to bring under control | سَخَّرَ (يُسَخِّرُ)
to gather; to bring together | حَشَرَ (يَحْشُرُ)
to open | يفتح | yaftah
to open; to give victory | فَتَحَ (يَفْتَحُ)
to repent to (from تاب: to repent) | تَابَ إِلَى
to repent | تَابَ (يَتُوبُ)
to spend | أَنْفَقَ (يُنْفِقُ)
window | نافذة | nafidha

============================================================
# PLACES & LOCATIONS (61 words)
============================================================

A room | غرفة |
Airlines office | مَكْتَبُ خُطُوط جَوِيَّةٍ |
At home | أَهْلاً |
Broadcasting, radio | إِذَاعَةٌ |
